Date,Volume,Close
2018-01-22,243000.0,3.6
2018-01-23,106800.0,3.63
2018-01-24,758000.0,3.66
2018-01-25,323700.0,3.62
2018-01-26,284700.0,3.62
2018-01-29,619300.0,3.64
2018-01-30,484100.0,3.62
2018-01-31,885000.0,3.58
2018-02-01,356000.0,3.54
2018-02-02,1906400.0,3.53
2018-02-05,947000.0,3.48
2018-02-06,1887400.0,3.42
2018-02-07,1696400.0,3.4
2018-02-08,423300.0,3.43
2018-02-09,694100.0,3.39
2018-02-12,420400.0,3.4
2018-02-13,575200.0,3.41
2018-02-14,243500.0,3.41
2018-02-15,1336400.0,3.46
2018-02-19,469300.0,3.48
2018-02-20,206200.0,3.48
2018-02-21,188300.0,3.52
2018-02-22,192700.0,3.49
2018-02-23,469400.0,3.52
2018-02-26,202300.0,3.55
2018-02-27,270200.0,3.54
2018-02-28,392600.0,3.52
2018-03-01,499300.0,3.5
2018-03-02,183000.0,3.49
2018-03-05,371200.0,3.44
2018-03-06,233000.0,3.48
2018-03-07,120000.0,3.45
2018-03-08,313100.0,3.47
2018-03-09,74000.0,3.48
2018-03-12,1736600.0,3.55
2018-03-13,245100.0,3.55
2018-03-14,209700.0,3.55
2018-03-15,307400.0,3.52
2018-03-16,94600.0,3.51
2018-03-19,540500.0,3.5
2018-03-20,200300.0,3.51
2018-03-21,526700.0,3.5
2018-03-22,96900.0,3.49
2018-03-23,1116600.0,3.42
2018-03-26,678700.0,3.42
2018-03-27,406700.0,3.44
2018-03-28,1478400.0,3.4
2018-03-29,396200.0,3.43
2018-04-02,270500.0,3.43
2018-04-03,529000.0,3.41
2018-04-04,769000.0,3.35
2018-04-05,362900.0,3.41
2018-04-06,280300.0,3.45
2018-04-09,312600.0,3.46
2018-04-10,148300.0,3.46
2018-04-11,136100.0,3.489
2018-04-12,438700.0,3.475
2018-04-13,210000.0,3.505
2018-04-16,240400.0,3.4930000000000003
2018-04-17,117700.0,3.51
2018-04-18,787200.0,3.56
2018-04-19,581000.0,3.593
2018-04-20,512500.0,3.57
2018-04-23,90500.0,3.58
2018-04-24,349600.0,3.589
2018-04-25,107500.0,3.575
2018-04-26,127600.0,3.595
2018-04-27,153700.0,3.6
2018-04-30,828500.0,3.637
2019-01-01,0.0,3.117
2019-01-02,497700.0,3.087
2019-01-03,889600.0,3.063
2019-01-04,564700.0,3.1060000000000003
2019-01-07,403900.0,3.1460000000000004
2019-01-08,771600.0,3.169
2019-01-09,704900.0,3.204
2019-01-10,438000.0,3.2310000000000003
2019-01-11,2076100.0,3.25
2019-01-14,236700.0,3.229
2019-01-15,342000.0,3.263
2019-01-16,1215328.0,3.274
2019-01-17,143400.0,3.262
2019-01-18,866600.0,3.274
2019-01-21,368800.0,3.28
2019-01-22,105700.0,3.242
2019-01-23,295700.0,3.217
2019-01-24,555900.0,3.245
2019-01-25,269400.0,3.255
2019-01-28,1309900.0,3.247
2019-01-29,193000.0,3.239
2019-01-30,267300.0,3.224
2019-01-31,142400.0,3.247
2019-02-01,729600.0,3.24
2019-02-04,452200.0,3.182
2019-02-05,0.0,3.182
2019-02-07,235700.0,3.199
2019-02-08,223800.0,3.198
2019-02-11,250400.0,3.195
2019-02-12,271200.0,3.198
2019-02-13,289300.0,3.237
2019-02-14,251500.0,3.248
2019-02-15,214900.0,3.234
2019-02-18,397100.0,3.265
2019-02-19,202500.0,3.26
2019-02-20,221100.0,3.279
2019-02-21,178500.0,3.276
2019-02-22,109300.0,3.27
2019-02-25,187800.0,3.27
2019-02-26,161100.0,3.26
2019-02-27,227500.0,3.247
2019-02-28,323800.0,3.218
2019-03-01,891200.0,3.228
2019-03-04,240200.0,3.248
2019-03-05,131200.0,3.224
2019-03-06,862700.0,3.229
2019-03-07,107000.0,3.218
2019-03-08,412300.0,3.1910000000000003
2019-03-11,353900.0,3.19
2019-03-12,197200.0,3.2030000000000003
2019-03-13,252700.0,3.1910000000000003
2019-03-14,354000.0,3.2
2019-03-15,87000.0,3.205
2019-03-18,468200.0,3.22
2019-03-19,179100.0,3.2260000000000004
2019-03-20,173400.0,3.218
2019-03-21,129300.0,3.222
2019-03-22,167700.0,3.216
2019-03-25,682300.0,3.189
2019-03-26,281900.0,3.207
2019-03-27,141000.0,3.2
2019-03-28,696200.0,3.208
2019-03-29,533500.0,3.215
2019-04-01,566600.0,3.248
2019-04-02,568800.0,3.287
2019-04-03,500800.0,3.315
2019-04-04,587800.0,3.323
2019-04-05,377300.0,3.329
2019-04-08,180400.0,3.317
2019-04-09,237500.0,3.327
2019-04-10,2024400.0,3.3310000000000004
2019-04-11,427800.0,3.33
2019-04-12,196600.0,3.335
2019-04-15,309000.0,3.33
2019-04-16,206500.0,3.337
2019-04-17,306300.0,3.355
2019-04-18,475900.0,3.3480000000000003
2019-04-22,676200.0,3.361
2019-04-23,265800.0,3.357
2019-04-24,179900.0,3.365
2019-04-25,257900.0,3.36
2019-04-26,570700.0,3.362
2019-04-29,1760200.0,3.41
2019-04-30,280900.0,3.415
